,키워드,"PC
 검색량","MB
 검색량","전체
 검색량",속성,"지식인
글개수
","카페
 글개수","인플
 글개수","블로그
 글개수",1탭,2탭,3탭,4탭,5탭,6탭,7탭,8탭,9탭,10탭,접촉지점,"탭순서
갱신일",파워링크,브랜드컨텐츠,가격비교,네플스,클립,,관련문서,,,,,,,,,,인기글7,,인기글3,,스마트블록,뉴스,,웹문서,,동영상,,이미지,확인일,자리상단하단
106,허리 온열패드,5,30,35,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,요추염좌,470,"2,260","2,730",-,5,10,5,6,파워링크,AI 브리핑,지식iN 의사 답변,함께 찾는 질병,관련 경험 카페글,인플루언서서비스 홈 바로가기,이미지,함께 많이 찾는,관련문서,웹문서,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,요추골절,170,540,710,-,3,3,3,4,파워링크,건강 주제 네이버 메이트,브랜드 콘텐츠,함께 많이 찾는,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,뉴스,웹문서,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,요추압박골절,220,520,740,-,2,5,2,4,파워링크,AI 브리핑,관련문서,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,요추의자,80,250,330,-,0,0,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,적외선온열기,30,190,220,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,디스크의자,100,270,370,-,0,5,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인기글,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,허리마사지기추천,30,230,260,-,3,5,5,9,브랜드검색,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,동영상,관련문서,브랜드 콘텐츠,관련문서,이미지,5,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,핫팩파우치,90,210,300,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,관련없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,충돌증후군,120,250,370,-,2,2,2,6,파워링크,건강 주제 네이버 메이트,네이버 클립,브랜드 콘텐츠,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,척추질환,140,260,400,-,2,5,2,4,파워링크,건강 주제 네이버 메이트,네이버 클립,건강·의학 브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,2,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,청주도수치료,100,750,850,-,0,3,0,7,파워링크,동영상,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,척추교정의자,50,200,250,-,0,0,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인플루언서서비스 홈 바로가기,이미지,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,협착증신경치료,30,380,410,-,2,4,2,4,파워링크,건강 주제 네이버 메이트,브랜드 콘텐츠,뉴스,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,한일의료기전기요,20,130,150,-,0,5,0,5,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,동영상,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,천안척추병원,130,200,330,-,2,4,2,4,파워링크,관련문서,브랜드 콘텐츠,동영상,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,척추측만증병원,50,560,610,-,2,5,2,6,파워링크,브랜드 콘텐츠,함께 많이 찾는,관련문서,이미지,웹문서,,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,휴대용찜질기,10,80,90,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,요추1번,130,540,670,-,3,5,3,7,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,관련문서,웹문서,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,척추주사,70,440,510,-,1,3,1,6,파워링크,AI 브리핑,건강 주제 네이버 메이트,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,가족선물,60,220,280,-,0,6,0,1,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,이미지,육아·결혼 인기글,웹문서,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,추나요법한의원,40,350,390,-,2,7,2,6,파워링크,브랜드 콘텐츠,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,추나한의원,90,410,500,-,2,6,2,6,파워링크,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,청주허리병원,60,260,320,-,2,5,2,9,파워링크,동영상,푸드 주제 네이버 메이트,뉴스,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,요추협착증운동,20,80,100,-,3,3,3,5,파워링크,AI 브리핑,건강 주제 네이버 메이트,함께 많이 찾는,관련문서,이미지,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,척추고정술,150,230,380,-,1,1,1,2,파워링크,AI 브리핑,네이버 가격비교,네이버플러스 스토어,건강 주제 네이버 메이트,관련문서,이미지,함께 많이 찾는,관련문서,웹문서,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,요추디스크,110,340,450,-,2,3,2,7,파워링크,AI 브리핑,건강 주제 네이버 메이트,네이버 가격비교,네이버플러스 스토어,이미지,함께 많이 찾는,관련문서,웹문서,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,50대남자생일선물,370,"1,570","1,940",-,0,5,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,뷰티 주제 네이버 메이트,네이버 클립,인기글,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,50대남자선물,670,"3,410","4,080",-,0,5,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,뷰티 주제 네이버 메이트,네이버 클립,인기글,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,50대선물,140,530,670,-,0,6,0,1,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,뷰티 주제 네이버 메이트,네이버 클립,패션·미용 인기글,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,50대아버지생신선물,50,190,240,-,3,8,3,7,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,동영상,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,50대아빠생일선물,310,"1,600","1,910",-,0,4,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,인기글,지식iN,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,50대아빠선물,70,500,570,-,0,4,0,4,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,파워링크,네이버 클립,지식iN,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,50대아빠선물추천,5,20,25,-,3,6,3,8,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,관련문서,파워링크,네이버 클립,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,50대엄마생신선물,330,"1,670","2,000",-,0,5,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,50대엄마생일선물,90,260,350,-,0,4,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,5월선물,5,5,10,-,3,3,3,5,파워링크,네이버 가격비교,네이버플러스 스토어,관련문서,관련문서,이미지,웹문서,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,60대남자생일선물,170,860,"1,030",-,0,5,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,상품리뷰 인기글,네이버 클립,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,60대남자선물,510,"2,460","2,970",-,0,4,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,상품리뷰 인기글,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,60대생일선물,40,250,290,-,0,6,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,60대아버지생신선물,190,580,770,-,0,4,0,4,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,60대선물,140,490,630,-,0,4,0,2,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,패션·미용 인기글,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,60대아빠생일선물,260,"1,160","1,420",-,0,5,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,이미지,웹문서,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,60대아빠선물,100,450,550,-,0,4,0,4,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,네이버 클립,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,60대어머니선물,20,30,50,-,3,7,3,7,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,동영상,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,60대엄마생신선물,150,480,630,-,0,3,0,5,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,네이버 클립,인기글,웹문서,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,60대엄마생일선물,220,830,"1,050",-,0,6,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,상품리뷰 인기글,네이버 클립,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,60대여성생일선물,60,260,320,-,3,5,3,5,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,동영상,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,60대여자생일선물,30,100,130,-,2,8,2,4,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,네이버 클립,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,60대여자선물,120,320,440,-,0,5,0,3,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,패션 주제 네이버 메이트,네이버 클립,패션·미용 인기글,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,70대남자선물,180,930,"1,110",-,0,5,0,3,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,인기글,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,70대선물,70,290,360,-,0,0,0,0,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,이미지,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,70대아버지생신선물,70,250,320,-,3,7,3,7,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,관련문서,동영상,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,70대여성선물,130,980,"1,110",-,0,5,0,4,파워링크,네이버플러스 스토어,선물샵,함께 많이 찾는,인기글,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,70대할머니선물,70,440,510,-,0,5,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인기글,지식iN,웹문서,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,90세할머니선물,10,140,150,-,0,6,0,5,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,동영상,관련문서,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,가정의달선물,10,5,15,-,0,2,0,4,파워링크,네이버플러스 스토어,선물샵,네이버 클립,인기글,웹문서,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,허리복대추천,50,430,480,-,0,4,0,3,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,인플루언서서비스 홈 바로가기,상품리뷰 인기글,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,한일찜질기,10,170,180,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,한일의료기허리찜질기,10,20,30,-,0,0,0,7,파워링크,AI 브리핑,건강 주제 네이버 메이트,네이버 가격비교,네이버플러스 스토어,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,한일의료기찜질기,60,380,440,-,0,0,0,8,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,동영상,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,한일온열찜질기,10,200,210,-,0,1,0,9,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,관련문서,관련문서,이미지,웹문서,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,원적외선찜질기효과,10,40,50,-,1,6,1,8,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,웹문서,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,원적외선패치,130,"2,590","2,720",-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,원적외선찜질기,360,"3,560","3,920",-,2,5,2,6,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,허리삐끗했을때한의원,50,130,180,-,3,7,3,6,AI 브리핑,관련문서,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,노출성공,,,,,,,,,,,,,,,,
172,허리삐끗했을때파스,60,300,360,-,4,5,4,7,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,4,,,,,,,,,,,,,,,노출성공,노출성공,,,,,,,,,,,,,,,
173,허리삐끗했을때찜질,90,610,700,-,3,4,5,7,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,허리삐끗했을때증상,50,180,230,-,2,5,2,7,AI 브리핑,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,허리삐끗했을때주사,10,90,100,-,6,3,6,5,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,허리삐끗했을때자세,70,550,620,-,3,4,3,7,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,허리복대효과,60,480,540,-,3,5,3,6,AI 브리핑,건강 주제 네이버 메이트,동영상,관련문서,네이버 가격비교,네이버플러스 스토어,이미지,파워링크,함께 많이 찾는,관련문서,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,허리삐끗병원,70,490,560,-,2,5,2,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,허리삐끗한의원,40,140,180,-,5,6,5,5,AI 브리핑,관련문서,건강 주제 네이버 메이트,파워링크,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,허리삐끗했을때병원,210,"1,110","1,320",-,5,5,5,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,네이버 클립,함께 많이 찾는,관련문서,이미지,웹문서,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,허리삐끗했을때병원어디로,30,190,220,-,3,8,3,4,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,함께 많이 찾는,관련문서,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,허리삐끗했을때약,100,710,810,-,3,4,3,8,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,허리삐끗했을때운동,60,430,490,-,2,5,4,7,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,허리뼈통증,10,220,230,-,2,5,2,6,AI 브리핑,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,,2,,,,,,,,,,,,,,,노출성공,,,,,,,,,,,,,,,,
185,허리부위별통증,20,140,160,-,0,4,0,3,AI 브리핑,건강 주제 네이버 메이트,관련문서,파워링크,이미지,관련문서,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,허리복대,"1,370","9,160","10,530",-,0,1,0,4,네이버 가격비교,네이버플러스 스토어,파워링크,함께 많이 찾는,네이버 클립,상품리뷰 인기글,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,허리보호의자,120,460,580,-,0,0,0,2,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,허리보호대추천,150,870,"1,020",-,0,2,0,3,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,인플루언서서비스 홈 바로가기,상품리뷰 인기글,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,허리보호대가격,5,210,215,-,1,3,1,11,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,동영상,관련문서,관련문서,이미지,웹문서,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,허리보호대,"3,080","16,100","19,180",-,0,4,0,1,브랜드검색,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,상품리뷰 인기글,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,허리보호,10,80,90,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,웹문서,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,허리보조기,380,"1,560","1,940",-,0,2,0,3,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,건강·의학 인기글,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,허리병원,180,"1,960","2,140",-,2,5,2,4,파워링크,건강 주제 네이버 메이트,네이버 클립,브랜드 콘텐츠,이미지,함께 많이 찾는,관련문서,웹문서,,,3,,,유료마킹필,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,허리베개,"1,000","6,850","7,850",-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,네이버 클립,지금 볼만한 브랜드,인플루언서서비스 홈 바로가기,웹문서,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,허리방석,330,860,"1,190",-,0,2,0,3,파워링크,네이버 가격비교,네이버플러스 스토어,네이버 클립,함께 많이 찾는,인기글,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,허리방사통,100,380,480,-,2,6,2,6,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,함께 많이 찾는,관련문서,웹문서,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,허리받침의자,60,190,250,-,0,0,0,0,네이버 가격비교,네이버플러스 스토어,파워링크,함께 많이 찾는,이미지,웹문서,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,허리받침대,380,890,"1,270",-,0,3,0,1,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,이미지,건강·의학 인기글,웹문서,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,허리받침,110,270,380,-,0,0,0,0,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,웹문서,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,허리밑통증,40,240,280,-,2,4,2,5,AI 브리핑,건강 주제 네이버 메이트,파워링크,이미지,뉴스,함께 많이 찾는,관련문서,웹문서,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,허리물리치료기,20,170,190,-,1,5,1,4,파워링크,네이버 가격비교,네이버플러스 스토어,함께 많이 찾는,건강 주제 네이버 메이트,동영상,관련문서,관련문서,이미지,웹문서,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
